X,Y,patronyme_,objectid,numero_uai,appellatio,denominati,secteur_pu,adresse_ua,lieu_dit_u,boite_post,code_posta,localite_a,libelle_co,coordonnee,coordonn_1,epsg,latitude,longitude,appariemen,localisati,nature_uai,nature_u_1,etat_etabl,etat_eta_1,code_depar,code_regio,code_acade,code_commu,libelle_de,libelle_re,libelle_ac,secteur_pr,secteur__1,eff_1920,statut,dat_ferm,euroscol,eff_2021,eff_2122,eff_2223
2.85323495106072,50.4958724513265,JULES FERRY,58,0621538K,Ecole primaire Jules Ferry,ECOLE PRIMAIRE PUBLIQUE,Public,Place du Champ de Foire, , ,62410,WINGLES,WINGLES,689570.4,7044289.7,EPSG:2154,50.49587245,2.85323495,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1,OUVERT,62,32,09,62895,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,231,Ouvert,,NON,221,227,
2.75283385177975,50.4256380870894,JEAN MACE MIXTE,59,0621560J,Ecole élémentaire spécialisée Jean Macé,ECOLE ELEMENTAIRE SPECIALISEE,Public,104 rue Jules Ferry, , ,62800,LIEVIN,LIEVIN,682411.1,7036483.3,EPSG:2154,50.42563809,2.75283385,Parfaite,Numéro de rue,162,ECOLE DE NIVEAU ELEMENTAIRE SPECIALISEE,1,OUVERT,62,32,09,62510,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,142,Ouvert,,NON,153,152,
2.75213834902557,50.4259051067901,JEAN DE LA FONTAINE,60,0621561K,Ecole primaire Jean de La Fontaine,ECOLE PRIMAIRE PUBLIQUE,Public,106 rue Jules Ferry, , ,62800,LIEVIN,LIEVIN,682361.7,7036513.2,EPSG:2154,50.42590511,2.75213835,Parfaite,Numéro de rue,151,ECOLE DE NIVEAU ELEMENTAIRE,1,OUVERT,62,32,09,62510,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,183,Ouvert,,NON,190,186,
2.81716164911993,50.4830082474829,JEAN CLAUDE CASADESUS,61,0622246E,Ecole maternelle Jean-Claude Casadesus,ECOLE MATERNELLE PUBLIQUE,Public,Rue Pierre Malvoisin, , ,62410,HULLUCH,HULLUCH,687003.6,7042861.9,EPSG:2154,50.48300825,2.81716165,Parfaite,Numéro de rue,101,ECOLE MATERNELLE,1,OUVERT,62,32,09,62464,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,95,Ouvert,,NON,102,98,
2.82693183763178,50.4298593325295,MICHELET,62,0622417R,Collège Michelet,COLLEGE,Public,33 boulevard Basly, ,137,62303,LENS CEDEX,LENS,687685.1,7036939.5,EPSG:2154,50.42985933,2.82693184,Moyenne,Numéro de rue,340,COLLEGE,1,OUVERT,62,32,09,62498,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,455,Ouvert,,NON,449,432,
2.8385189021172,50.3982880990861,PAUL LANGEVIN,63,0622420U,Collège Paul Langevin,COLLEGE,Public,2 rue Paul Eluard, , ,62210,AVION,AVION,688502.4,7033420.9,EPSG:2154,50.3982881,2.8385189,Parfaite,Numéro de rue,340,COLLEGE,1,OUVERT,62,32,09,62065,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,473,Ouvert,,NON,495,480,
2.83811336126831,50.3981780454018,CLG PAUL LANGEVIN,64,0622421V,Section d'enseignement général et professionnel adapté du Collège Paul Langevin,SEGPA,Public,2 rue BARBES, , ,62210,AVION,AVION,688473.5,7033408.7,EPSG:2154,50.39817805,2.83811336,Parfaite,Numéro de rue,390,SECTION ENSEIGNT GEN. ET PROF. ADAPTE,1,OUVERT,62,32,09,62065,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,0,Ouvert,,NON,0,0,
2.73782990341495,50.4510825743639,LANGEVIN-WALLON,65,0622424Y,Collège Langevin-Wallon,COLLEGE,Public,Place DANIEL BRETON, , ,62160,GRENAY,GRENAY,681352.8,7039321.2,EPSG:2154,50.45108257,2.7378299,Parfaite,Numéro de rue,340,COLLEGE,1,OUVERT,62,32,09,62386,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,451,Ouvert,,NON,475,481,
2.89065466968364,50.4941581302156,LES TAMARIS,66,0622519B,Ecole maternelle Les Tamaris,ECOLE MATERNELLE PUBLIQUE,Public,Place Jean Jaurès, , ,62410,MEURCHIN,MEURCHIN,692229.3,7044094.4,EPSG:2154,50.49415813,2.89065467,Parfaite,Numéro de rue,101,ECOLE MATERNELLE,1,OUVERT,62,32,09,62573,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,165,Ouvert,,NON,156,144,
2.75356286603013,50.4107438433562,JEAN VILAR,67,0622579S,Collège Jean Vilar,COLLEGE,Public,11 rue DU MARECHAL JOFFRE, ,1,62143,ANGRES,ANGRES,682457.8,7034824,EPSG:2154,50.41074384,2.75356287,Parfaite,Numéro de rue,340,COLLEGE,1,OUVERT,62,32,09,62032,Pas-de-Calais,Hauts-de-France,Lille,99,SANS OBJET,537,Ouvert,,NON,542,516,
